,time,pre_total_sheet
7483,2021/12/20-18,12
7484,2021/12/20-19,40
7485,2021/12/20-20,4
7486,2021/12/20-22,2
7487,2021/12/21-0,4
7488,2021/12/21-1,59
7489,2021/12/21-2,12
7490,2021/12/21-3,7
7491,2021/12/21-4,1
7492,2021/12/21-5,2
7493,2021/12/21-6,2
7494,2021/12/21-7,2
7495,2021/12/21-8,7
7496,2021/12/21-9,5
7497,2021/12/21-10,14
7498,2021/12/21-11,13
7499,2021/12/21-12,6
7500,2021/12/21-13,9
7501,2021/12/21-14,43
7502,2021/12/21-16,6
7503,2021/12/21-18,2
7504,2021/12/21-19,7
7505,2021/12/21-20,8
7506,2021/12/21-21,4
7507,2021/12/21-22,6
7508,2021/12/21-23,1
7509,2021/12/22-0,10
7510,2021/12/22-1,33
7511,2021/12/22-2,8
7512,2021/12/22-3,6
7513,2021/12/22-4,3
7514,2021/12/22-5,4
7515,2021/12/22-6,3
7516,2021/12/22-7,9
7517,2021/12/22-8,6
7518,2021/12/22-9,7
7519,2021/12/22-10,10
7520,2021/12/22-11,9
7521,2021/12/22-12,15
7522,2021/12/22-13,38
7523,2021/12/22-14,20
7524,2021/12/22-15,15
7525,2021/12/22-16,11
7526,2021/12/22-17,18
7527,2021/12/22-18,8
7528,2021/12/22-19,16
7529,2021/12/22-20,7
7530,2021/12/22-21,5
7531,2021/12/22-22,2
7532,2021/12/22-23,5
7533,2021/12/23-0,12
7534,2021/12/23-1,28
7535,2021/12/23-2,13
7536,2021/12/23-3,2
7537,2021/12/23-4,4
7538,2021/12/23-6,5
7539,2021/12/23-8,6
7540,2021/12/23-9,15
7541,2021/12/23-10,13
7542,2021/12/23-11,7
7543,2021/12/23-12,3
7544,2021/12/23-13,5
7545,2021/12/23-14,3
7546,2021/12/23-15,8
7547,2021/12/23-16,14
7548,2021/12/23-17,14
7549,2021/12/23-18,7
7550,2021/12/23-19,3
7551,2021/12/23-22,5
7552,2021/12/24-0,2
7553,2021/12/24-1,4
7554,2021/12/24-2,1
7555,2021/12/24-6,4
7556,2021/12/24-7,5
7557,2021/12/24-8,13
7558,2021/12/24-9,10
7559,2021/12/24-10,28
7560,2021/12/24-11,15
7561,2021/12/24-13,2
7562,2021/12/24-14,21
7563,2021/12/24-15,11
7564,2021/12/24-16,5
7565,2021/12/24-17,3
7566,2021/12/24-18,3
7567,2021/12/24-19,1
7568,2021/12/24-21,1
7569,2021/12/24-22,2
7570,2021/12/25-0,1
7571,2021/12/25-2,3
7572,2021/12/25-3,2
7573,2021/12/25-6,1
7574,2021/12/25-7,26
7575,2021/12/25-8,7
7576,2021/12/25-9,23
7577,2021/12/25-10,19
7578,2021/12/25-11,8
7579,2021/12/25-12,5
7580,2021/12/25-13,18
7581,2021/12/25-14,9
7582,2021/12/25-15,3
7583,2021/12/25-16,2
7584,2021/12/25-17,1
7585,2021/12/25-19,9
7586,2021/12/25-20,4
7587,2021/12/25-21,6
7588,2021/12/25-22,12
7589,2021/12/26-0,4
7590,2021/12/26-1,32
7591,2021/12/26-2,2
7592,2021/12/26-3,4
7593,2021/12/26-5,2
7594,2021/12/26-7,2
7595,2021/12/26-8,1
7596,2021/12/26-9,26
7597,2021/12/26-10,32
7598,2021/12/26-11,7
7599,2021/12/26-12,9
7600,2021/12/26-13,10
7601,2021/12/26-14,6
7602,2021/12/26-15,4
7603,2021/12/26-16,22
7604,2021/12/26-17,3
7605,2021/12/26-18,2
7606,2021/12/26-19,3
7607,2021/12/27-0,5
7608,2021/12/27-2,6
7609,2021/12/27-3,3
7610,2021/12/27-4,22
7611,2021/12/27-5,1
7612,2021/12/27-6,5
7613,2021/12/27-7,2
7614,2021/12/27-8,8
7615,2021/12/27-9,38
7616,2021/12/27-10,8
7617,2021/12/27-11,10
7618,2021/12/27-12,4
7619,2021/12/27-13,9
7620,2021/12/27-14,4
7621,2021/12/27-15,4
7622,2021/12/27-16,5
7623,2021/12/27-17,7
7624,2021/12/27-18,7
7625,2021/12/27-19,9
7626,2021/12/27-20,23
7627,2021/12/27-21,39
7628,2021/12/27-22,1
7629,2021/12/27-23,7
7630,2021/12/28-0,13
7631,2021/12/28-1,11
7632,2021/12/28-2,7
7633,2021/12/28-3,26
7634,2021/12/28-4,1
7635,2021/12/28-5,5
7636,2021/12/28-6,2
7637,2021/12/28-7,5
7638,2021/12/28-8,10
7639,2021/12/28-9,13
7640,2021/12/28-10,24
7641,2021/12/28-11,11
7642,2021/12/28-12,10
7643,2021/12/28-13,8
7644,2021/12/28-14,8
7645,2021/12/28-15,9
7646,2021/12/28-16,17
7647,2021/12/28-17,13
7648,2021/12/28-18,11
7649,2021/12/28-19,5
7650,2021/12/28-20,3
7651,2021/12/28-22,4
7652,2021/12/29-0,6
7653,2021/12/29-2,1
7654,2021/12/29-3,3
7655,2021/12/29-6,13
7656,2021/12/29-7,5
7657,2021/12/29-8,3
7658,2021/12/29-9,16
7659,2021/12/29-10,5
7660,2021/12/29-11,14
7661,2021/12/29-12,5
7662,2021/12/29-13,12
7663,2021/12/29-14,6
7664,2021/12/29-15,7
7665,2021/12/29-16,3
7666,2021/12/29-17,87
7667,2021/12/29-18,3
7668,2021/12/29-19,10
7669,2021/12/29-20,5
7670,2021/12/29-21,6
7671,2021/12/29-22,6
7672,2021/12/29-23,6
7673,2021/12/3-0,2
7674,2021/12/3-1,23
7675,2021/12/3-2,11
7676,2021/12/3-3,2
7677,2021/12/3-4,1
7678,2021/12/3-5,3
7679,2021/12/3-6,2
7680,2021/12/3-8,10
7681,2021/12/3-9,13
7682,2021/12/3-10,52
7683,2021/12/3-11,10
7684,2021/12/3-12,20
7685,2021/12/3-13,38
7686,2021/12/3-14,23
7687,2021/12/3-15,10
7688,2021/12/3-16,41
7689,2021/12/3-17,14
7690,2021/12/3-18,33
7691,2021/12/3-19,50
7692,2021/12/3-20,15
7693,2021/12/3-21,5
7694,2021/12/3-22,32
7695,2021/12/3-23,1
7696,2021/12/30-0,11
7697,2021/12/30-1,3
7698,2021/12/30-2,1
7699,2021/12/30-5,1
7700,2021/12/30-6,3
7701,2021/12/30-7,3
7702,2021/12/30-8,6
7703,2021/12/30-9,21
7704,2021/12/30-10,9
7705,2021/12/30-11,25
7706,2021/12/30-12,12
7707,2021/12/30-13,4
7708,2021/12/30-14,39
7709,2021/12/30-15,14
7710,2021/12/30-16,40
7711,2021/12/30-17,3
7712,2021/12/30-18,33
7713,2021/12/30-19,7
7714,2021/12/30-20,5
7715,2021/12/30-21,6
7716,2021/12/30-22,5
7717,2021/12/30-23,6
7718,2021/12/31-0,2
7719,2021/12/31-3,2
7720,2021/12/31-4,3
7721,2021/12/31-8,5
7722,2021/12/31-9,15
7723,2021/12/31-10,17
7724,2021/12/31-11,4
7725,2021/12/31-12,1
7726,2021/12/31-13,6
7727,2021/12/31-14,10
7728,2021/12/31-15,1
7729,2021/12/31-16,12
7730,2021/12/31-17,12
7731,2021/12/31-18,11
7732,2021/12/31-19,9
7733,2021/12/31-20,6
7734,2021/12/31-21,31
7735,2021/12/31-22,5
7736,2021/12/31-23,2
7737,2021/12/4-0,10
7738,2021/12/4-1,33
7739,2021/12/4-2,26
7740,2021/12/4-3,2
7741,2021/12/4-5,26
7742,2021/12/4-6,4
7743,2021/12/4-7,6
7744,2021/12/4-8,44
7745,2021/12/4-9,58
7746,2021/12/4-10,55
7747,2021/12/4-11,13
7748,2021/12/4-12,30
7749,2021/12/4-13,11
7750,2021/12/4-14,15
7751,2021/12/4-15,8
7752,2021/12/4-16,6
7753,2021/12/4-17,25
7754,2021/12/4-18,6
7755,2021/12/4-19,37
7756,2021/12/4-20,2
7757,2021/12/4-21,24
7758,2021/12/4-22,9
7759,2021/12/4-23,6
7760,2021/12/5-0,6
7761,2021/12/5-1,9
7762,2021/12/5-4,19
7763,2021/12/5-5,6
7764,2021/12/5-7,1
7765,2021/12/5-8,27
7766,2021/12/5-9,17
7767,2021/12/5-10,18
7768,2021/12/5-11,38
7769,2021/12/5-12,6
7770,2021/12/5-13,22
7771,2021/12/5-14,7
7772,2021/12/5-15,42
7773,2021/12/5-16,24
7774,2021/12/5-17,24
7775,2021/12/5-18,6
7776,2021/12/5-19,25
7777,2021/12/5-20,13
7778,2021/12/5-21,18
7779,2021/12/5-22,12
7780,2021/12/5-23,7
7781,2021/12/6-0,3
7782,2021/12/6-1,10
7783,2021/12/6-2,4
7784,2021/12/6-3,3
7785,2021/12/6-4,3
7786,2021/12/6-5,8
7787,2021/12/6-6,8
7788,2021/12/6-7,49
7789,2021/12/6-8,63
7790,2021/12/6-9,14
7791,2021/12/6-10,20
7792,2021/12/6-11,25
7793,2021/12/6-12,14
7794,2021/12/6-13,14
7795,2021/12/6-14,12
7796,2021/12/6-15,3
7797,2021/12/6-16,6
7798,2021/12/6-17,10
7799,2021/12/6-18,6
7800,2021/12/6-19,20
7801,2021/12/6-20,7
7802,2021/12/6-21,2
7803,2021/12/6-22,5
7804,2021/12/6-23,5
7805,2021/12/7-0,6
7806,2021/12/7-1,6
7807,2021/12/7-2,1
7808,2021/12/7-3,5
7809,2021/12/7-4,2
7810,2021/12/7-5,14
7811,2021/12/7-6,2
7812,2021/12/7-7,6
7813,2021/12/7-8,28
7814,2021/12/7-9,39
7815,2021/12/7-10,14
7816,2021/12/7-11,3
7817,2021/12/7-12,10
7818,2021/12/7-13,67
7819,2021/12/7-14,71
7820,2021/12/7-15,8
7821,2021/12/7-16,38
7822,2021/12/7-17,22
7823,2021/12/7-18,50
7824,2021/12/7-19,8
7825,2021/12/7-20,64
7826,2021/12/7-21,8
7827,2021/12/7-22,7
7828,2021/12/7-23,3
7829,2021/12/8-0,7
7830,2021/12/8-1,3
7831,2021/12/8-2,9
7832,2021/12/8-3,2
7833,2021/12/8-4,56
7834,2021/12/8-5,6
7835,2021/12/8-6,5
7836,2021/12/8-7,9
7837,2021/12/8-8,9
7838,2021/12/8-9,15
7839,2021/12/8-10,17
7840,2021/12/8-11,28
7841,2021/12/8-12,7
7842,2021/12/8-13,18
7843,2021/12/8-14,42
7844,2021/12/8-15,8
7845,2021/12/8-16,30
7846,2021/12/8-17,18
7847,2021/12/8-18,66
7848,2021/12/8-19,69
7849,2021/12/8-20,1
7850,2021/12/8-21,6
7851,2021/12/8-22,4
7852,2021/12/8-23,5
7853,2021/12/9-0,10
7854,2021/12/9-1,18
7855,2021/12/9-2,11
7856,2021/12/9-3,19
7857,2021/12/9-4,9
7858,2021/12/9-5,3
7859,2021/12/9-6,2
7860,2021/12/9-8,5
7861,2021/12/9-9,34
7862,2021/12/9-10,34
7863,2021/12/9-11,26
7864,2021/12/9-12,14
7865,2021/12/9-13,22
7866,2021/12/9-14,9
7867,2021/12/9-15,7
7868,2021/12/9-16,12
7869,2021/12/9-17,15
7870,2021/12/9-18,21
7871,2021/12/9-19,5
7872,2021/12/9-20,3
7873,2021/12/9-21,4
7874,2021/12/9-23,4
7875,2021/2/1-8,5
7876,2021/2/1-9,31
7877,2021/2/1-10,35
7878,2021/2/1-11,8
7879,2021/2/1-12,19
7880,2021/2/1-13,14
7881,2021/2/1-14,28
7882,2021/2/1-15,40
7883,2021/2/1-16,9
7884,2021/2/1-17,19
7885,2021/2/1-18,38
7886,2021/2/1-19,16
7887,2021/2/1-20,6
7888,2021/2/1-21,21
7889,2021/2/1-22,1
7890,2021/2/10-13,4
7891,2021/2/10-15,2
7892,2021/2/10-16,4
7893,2021/2/10-17,6
7894,2021/2/10-18,2
7895,2021/2/10-19,1
7896,2021/2/11-0,19
7897,2021/2/12-11,2
7898,2021/2/12-12,2
7899,2021/2/12-13,1
7900,2021/2/12-14,4
7901,2021/2/12-15,4
7902,2021/2/12-18,2
7903,2021/2/13-0,3
7904,2021/2/13-14,4
7905,2021/2/13-15,2
7906,2021/2/13-16,16
7907,2021/2/13-17,1
7908,2021/2/13-19,7
7909,2021/2/13-21,3
7910,2021/2/14-12,1
7911,2021/2/14-13,9
7912,2021/2/14-15,3
7913,2021/2/14-18,20
7914,2021/2/14-19,2
7915,2021/2/14-23,15
7916,2021/2/15-0,14
7917,2021/2/15-10,9
7918,2021/2/15-11,6
7919,2021/2/15-13,1
7920,2021/2/15-14,4
7921,2021/2/15-16,1
7922,2021/2/15-17,4
7923,2021/2/15-20,64
7924,2021/2/15-21,35
7925,2021/2/15-22,22
7926,2021/2/16-10,2
7927,2021/2/16-11,10
7928,2021/2/16-12,3
7929,2021/2/16-13,14
7930,2021/2/16-14,9
7931,2021/2/16-15,17
7932,2021/2/16-16,4
7933,2021/2/16-17,5
7934,2021/2/16-18,10
7935,2021/2/16-19,4
7936,2021/2/16-20,10
7937,2021/2/16-21,2
7938,2021/2/16-23,7
7939,2021/2/17-10,4
7940,2021/2/17-11,6
7941,2021/2/17-12,2
7942,2021/2/17-13,9
7943,2021/2/17-14,12
7944,2021/2/17-15,18
7945,2021/2/17-16,16
7946,2021/2/17-17,13
7947,2021/2/17-18,4
7948,2021/2/17-19,3
7949,2021/2/17-20,34
7950,2021/2/17-21,4
7951,2021/2/17-22,2
7952,2021/2/18-2,4
7953,2021/2/18-6,8
7954,2021/2/18-9,10
7955,2021/2/18-10,14
7956,2021/2/18-11,7
7957,2021/2/18-12,21
7958,2021/2/18-13,2
7959,2021/2/18-14,15
7960,2021/2/18-15,23
7961,2021/2/18-16,10
7962,2021/2/18-17,6
7963,2021/2/18-18,3
7964,2021/2/18-19,3
7965,2021/2/18-20,4
7966,2021/2/18-21,3
7967,2021/2/19-2,10
7968,2021/2/19-3,2
7969,2021/2/19-5,2
7970,2021/2/19-9,2
7971,2021/2/19-10,10
7972,2021/2/19-11,2
7973,2021/2/19-12,11
7974,2021/2/19-13,16
7975,2021/2/19-14,5
7976,2021/2/19-16,4
7977,2021/2/19-17,24
7978,2021/2/19-18,45
7979,2021/2/19-19,13
7980,2021/2/19-20,5
7981,2021/2/19-21,2
7982,2021/2/19-22,3
7983,2021/2/19-23,5
7984,2021/2/2-9,6
7985,2021/2/2-10,4
7986,2021/2/2-11,22
7987,2021/2/2-12,22
7988,2021/2/2-13,2
7989,2021/2/2-14,14
7990,2021/2/2-15,13
7991,2021/2/2-16,16
7992,2021/2/2-17,8
7993,2021/2/2-18,8
7994,2021/2/2-19,6
7995,2021/2/2-20,2
7996,2021/2/2-21,3
7997,2021/2/2-22,3
7998,2021/2/20-0,1
7999,2021/2/20-7,2
8000,2021/2/20-8,7
8001,2021/2/20-9,5
8002,2021/2/20-10,7
8003,2021/2/20-11,3
8004,2021/2/20-12,38
8005,2021/2/20-13,40
8006,2021/2/20-14,71
8007,2021/2/20-15,39
8008,2021/2/20-16,39
8009,2021/2/20-17,39
8010,2021/2/20-18,50
8011,2021/2/20-19,2
8012,2021/2/20-20,5
8013,2021/2/20-21,7
8014,2021/2/20-23,3
8015,2021/2/21-8,6
8016,2021/2/21-9,11
8017,2021/2/21-10,14
8018,2021/2/21-11,22
8019,2021/2/21-12,8
8020,2021/2/21-13,15
8021,2021/2/21-14,24
8022,2021/2/21-15,19
8023,2021/2/21-16,53
8024,2021/2/21-17,17
8025,2021/2/21-18,19
8026,2021/2/21-19,9
8027,2021/2/21-20,8
8028,2021/2/22-0,12
8029,2021/2/22-1,8
8030,2021/2/22-8,11
8031,2021/2/22-9,19
8032,2021/2/22-10,6
8033,2021/2/22-11,12
8034,2021/2/22-12,10
8035,2021/2/22-13,4
8036,2021/2/22-14,46
8037,2021/2/22-15,19
8038,2021/2/22-16,8
8039,2021/2/22-17,10
8040,2021/2/22-18,11
8041,2021/2/22-19,18
8042,2021/2/22-20,16
8043,2021/2/22-21,11
8044,2021/2/22-22,12
8045,2021/2/22-23,6
8046,2021/2/23-0,7
8047,2021/2/23-4,4
8048,2021/2/23-7,8
8049,2021/2/23-8,10
8050,2021/2/23-9,10
8051,2021/2/23-10,32
8052,2021/2/23-11,8
8053,2021/2/23-12,12
8054,2021/2/23-13,16
8055,2021/2/23-14,13
8056,2021/2/23-15,64
8057,2021/2/23-16,16
8058,2021/2/23-17,43
8059,2021/2/23-18,34
8060,2021/2/23-19,3
8061,2021/2/23-20,5
8062,2021/2/23-21,2
8063,2021/2/23-22,2
8064,2021/2/23-23,1
8065,2021/2/24-0,10
8066,2021/2/24-1,12
8067,2021/2/24-2,4
8068,2021/2/24-4,1
8069,2021/2/24-8,14
8070,2021/2/24-9,10
8071,2021/2/24-10,16
8072,2021/2/24-11,12
8073,2021/2/24-12,3
8074,2021/2/24-13,13
8075,2021/2/24-14,12
8076,2021/2/24-15,24
8077,2021/2/24-16,9
8078,2021/2/24-17,5
8079,2021/2/24-18,9
8080,2021/2/24-19,11
8081,2021/2/24-20,4
8082,2021/2/24-21,35
8083,2021/2/24-22,7
8084,2021/2/24-23,2
8085,2021/2/25-4,1
8086,2021/2/25-5,14
8087,2021/2/25-6,1
8088,2021/2/25-8,5
8089,2021/2/25-9,5
8090,2021/2/25-11,16
8091,2021/2/25-12,10
8092,2021/2/25-13,9
8093,2021/2/25-14,8
8094,2021/2/25-15,13
8095,2021/2/25-16,1
8096,2021/2/25-18,20
8097,2021/2/25-19,22
8098,2021/2/25-20,17
8099,2021/2/25-21,20
8100,2021/2/25-22,48
8101,2021/2/25-23,2
8102,2021/2/26-0,31
8103,2021/2/26-8,1
8104,2021/2/26-9,1
8105,2021/2/26-10,2
8106,2021/2/26-11,7
8107,2021/2/26-12,17
8108,2021/2/26-13,25
8109,2021/2/26-14,8
8110,2021/2/26-15,11
8111,2021/2/26-16,3
8112,2021/2/26-17,17
8113,2021/2/26-18,7
8114,2021/2/26-19,9
8115,2021/2/26-21,4
8116,2021/2/26-22,3
8117,2021/2/26-23,3
8118,2021/2/27-0,6
8119,2021/2/27-8,9
8120,2021/2/27-9,25
8121,2021/2/27-10,20
8122,2021/2/27-11,13
8123,2021/2/27-12,22
8124,2021/2/27-14,18
8125,2021/2/27-15,6
8126,2021/2/27-16,24
8127,2021/2/27-17,17
8128,2021/2/27-18,27
8129,2021/2/27-19,8
8130,2021/2/27-20,10
8131,2021/2/27-21,18
8132,2021/2/27-22,20
8133,2021/2/27-23,4
8134,2021/2/28-0,18
8135,2021/2/28-1,18
8136,2021/2/28-6,2
8137,2021/2/28-8,8
8138,2021/2/28-9,13
8139,2021/2/28-10,25
8140,2021/2/28-11,45
8141,2021/2/28-12,23
8142,2021/2/28-13,11
8143,2021/2/28-14,10
8144,2021/2/28-15,28
8145,2021/2/28-16,34
8146,2021/2/28-17,57
8147,2021/2/28-18,43
8148,2021/2/28-19,25
8149,2021/2/28-20,7
8150,2021/2/28-21,2
8151,2021/2/28-22,8
8152,2021/2/3-0,3
8153,2021/2/3-1,8
8154,2021/2/3-2,2
8155,2021/2/3-3,4
8156,2021/2/3-8,4
8157,2021/2/3-9,3
8158,2021/2/3-10,2
8159,2021/2/3-11,52
8160,2021/2/3-12,10
8161,2021/2/3-13,7
8162,2021/2/3-14,5
8163,2021/2/3-15,20
8164,2021/2/3-16,9
8165,2021/2/3-17,4
8166,2021/2/3-18,10
8167,2021/2/3-19,6
8168,2021/2/3-20,4
8169,2021/2/3-21,4
8170,2021/2/4-5,2
8171,2021/2/4-8,8
8172,2021/2/4-9,8
8173,2021/2/4-10,5
8174,2021/2/4-12,3
8175,2021/2/4-13,2
8176,2021/2/4-14,10
8177,2021/2/4-15,5
8178,2021/2/4-16,18
8179,2021/2/4-17,4
8180,2021/2/4-18,10
8181,2021/2/4-19,4
8182,2021/2/4-20,3
8183,2021/2/4-22,3
8184,2021/2/4-23,1
8185,2021/2/5-0,3
8186,2021/2/5-1,4
8187,2021/2/5-6,4
8188,2021/2/5-7,11
8189,2021/2/5-8,3
8190,2021/2/5-9,5
8191,2021/2/5-10,4
8192,2021/2/5-11,20
8193,2021/2/5-12,12
8194,2021/2/5-13,11
8195,2021/2/5-14,6
8196,2021/2/5-15,10
8197,2021/2/5-16,12
8198,2021/2/5-17,4
8199,2021/2/5-18,14
8200,2021/2/5-19,10
8201,2021/2/5-20,10
8202,2021/2/5-21,1
8203,2021/2/5-22,5
8204,2021/2/5-23,1
8205,2021/2/6-1,3
8206,2021/2/6-2,4
8207,2021/2/6-6,3
8208,2021/2/6-8,2
8209,2021/2/6-9,16
8210,2021/2/6-10,2
8211,2021/2/6-11,10
8212,2021/2/6-12,18
8213,2021/2/6-13,3
8214,2021/2/6-14,7
8215,2021/2/6-15,7
8216,2021/2/6-16,7
8217,2021/2/6-17,8
8218,2021/2/6-19,4
8219,2021/2/6-21,3
8220,2021/2/6-22,3
8221,2021/2/7-9,4
8222,2021/2/7-12,4
8223,2021/2/7-13,15
8224,2021/2/7-14,14
8225,2021/2/7-15,8
8226,2021/2/7-16,6
8227,2021/2/7-17,9
8228,2021/2/7-18,10
8229,2021/2/7-19,4
8230,2021/2/8-1,26
8231,2021/2/8-5,2
8232,2021/2/8-7,1
8233,2021/2/8-8,4
8234,2021/2/8-9,2
8235,2021/2/8-11,14
8236,2021/2/8-13,5
8237,2021/2/8-14,2
8238,2021/2/8-15,5
8239,2021/2/8-16,3
8240,2021/2/8-17,3
8241,2021/2/8-19,2
8242,2021/2/8-20,3
8243,2021/2/8-21,1
8244,2021/2/8-22,3
8245,2021/2/8-23,13
8246,2021/2/9-4,2
8247,2021/2/9-10,2
8248,2021/2/9-11,1
8249,2021/2/9-12,1
8250,2021/2/9-13,3
8251,2021/2/9-14,1
8252,2021/2/9-15,2
8253,2021/2/9-16,1
8254,2021/2/9-17,6
8255,2021/2/9-18,15
8256,2021/2/9-19,26
8257,2021/3/1-0,22
8258,2021/3/1-1,16
8259,2021/3/1-2,2
8260,2021/3/1-5,1
8261,2021/3/1-9,11
8262,2021/3/1-10,5
8263,2021/3/1-11,20
8264,2021/3/1-12,11
8265,2021/3/1-13,23
8266,2021/3/1-14,5
8267,2021/3/1-15,5
8268,2021/3/1-16,15
8269,2021/3/1-17,24
8270,2021/3/1-18,35
8271,2021/3/1-19,6
8272,2021/3/1-20,6
8273,2021/3/1-21,7
8274,2021/3/1-22,16
8275,2021/3/1-23,6
8276,2021/3/10-0,5
8277,2021/3/10-1,3
8278,2021/3/10-2,1
8279,2021/3/10-3,2
8280,2021/3/10-4,3
8281,2021/3/10-5,1
8282,2021/3/10-6,3
8283,2021/3/10-7,1
8284,2021/3/10-8,6
8285,2021/3/10-9,11
8286,2021/3/10-10,9
8287,2021/3/10-11,11
8288,2021/3/10-12,3
8289,2021/3/10-13,5
8290,2021/3/10-14,1
8291,2021/3/10-15,10
8292,2021/3/10-16,2
8293,2021/3/10-17,21
8294,2021/3/10-18,8
8295,2021/3/10-19,11
8296,2021/3/10-20,2
8297,2021/3/10-21,12
8298,2021/3/10-22,1
8299,2021/3/10-23,4
8300,2021/3/11-1,1
8301,2021/3/11-2,5
8302,2021/3/11-4,1
8303,2021/3/11-6,10
8304,2021/3/11-7,11
8305,2021/3/11-8,2
8306,2021/3/11-9,6
8307,2021/3/11-10,4
8308,2021/3/11-11,1
8309,2021/3/11-12,2
8310,2021/3/11-13,2
8311,2021/3/11-14,10
8312,2021/3/11-15,20
8313,2021/3/11-16,8
8314,2021/3/11-17,6
8315,2021/3/11-18,9
8316,2021/3/11-19,3
8317,2021/3/11-20,36
8318,2021/3/11-21,6
8319,2021/3/11-22,6
8320,2021/3/11-23,1
8321,2021/3/12-0,1
8322,2021/3/12-2,3
8323,2021/3/12-4,1
8324,2021/3/12-5,1
8325,2021/3/12-7,3
8326,2021/3/12-8,13
8327,2021/3/12-9,7
8328,2021/3/12-10,12
8329,2021/3/12-11,5
8330,2021/3/12-12,7
8331,2021/3/12-14,12
8332,2021/3/12-15,4
8333,2021/3/12-17,23
8334,2021/3/12-18,25
8335,2021/3/12-19,2
8336,2021/3/12-20,6
8337,2021/3/12-21,29
8338,2021/3/12-22,1
8339,2021/3/12-23,50
8340,2021/3/13-0,20
8341,2021/3/13-1,23
8342,2021/3/13-3,11
8343,2021/3/13-4,3
8344,2021/3/13-5,5
8345,2021/3/13-7,2
8346,2021/3/13-9,64
8347,2021/3/13-10,7
8348,2021/3/13-11,13
8349,2021/3/13-12,9
8350,2021/3/13-13,2
8351,2021/3/13-14,8
8352,2021/3/13-15,2
8353,2021/3/13-16,5
8354,2021/3/13-17,8
8355,2021/3/13-18,3
8356,2021/3/13-19,2
8357,2021/3/13-20,23
8358,2021/3/13-21,9
8359,2021/3/13-22,1
8360,2021/3/13-23,1
8361,2021/3/14-1,3
8362,2021/3/14-3,1
8363,2021/3/14-4,1
8364,2021/3/14-6,3
8365,2021/3/14-7,1
8366,2021/3/14-10,52
8367,2021/3/14-11,5
8368,2021/3/14-12,1
8369,2021/3/14-13,2
8370,2021/3/14-14,45
8371,2021/3/14-15,83
8372,2021/3/14-16,30
8373,2021/3/14-17,2
8374,2021/3/14-18,1
8375,2021/3/14-19,19
8376,2021/3/14-20,4
8377,2021/3/14-21,2
8378,2021/3/14-22,4
8379,2021/3/14-23,4
8380,2021/3/15-0,24
8381,2021/3/15-1,2
8382,2021/3/15-4,3
8383,2021/3/15-5,16
8384,2021/3/15-6,1
8385,2021/3/15-7,6
8386,2021/3/15-8,1
8387,2021/3/15-9,15
8388,2021/3/15-10,3
8389,2021/3/15-11,18
8390,2021/3/15-12,2
8391,2021/3/15-13,19
8392,2021/3/15-14,1
8393,2021/3/15-15,14
8394,2021/3/15-16,13
8395,2021/3/15-17,8
8396,2021/3/15-18,10
8397,2021/3/15-19,22
8398,2021/3/15-20,6
8399,2021/3/15-21,3
8400,2021/3/15-22,4
8401,2021/3/15-23,2
8402,2021/3/16-3,1
8403,2021/3/16-4,3
8404,2021/3/16-5,1
8405,2021/3/16-6,1
8406,2021/3/16-7,6
8407,2021/3/16-8,8
8408,2021/3/16-9,5
8409,2021/3/16-10,9
8410,2021/3/16-11,20
8411,2021/3/16-12,23
8412,2021/3/16-13,7
8413,2021/3/16-14,13
8414,2021/3/16-15,22
8415,2021/3/16-16,8
8416,2021/3/16-17,5
8417,2021/3/16-18,5
8418,2021/3/16-19,4
8419,2021/3/16-20,13
8420,2021/3/16-21,12
8421,2021/3/16-22,5
8422,2021/3/16-23,3
8423,2021/3/17-0,1
8424,2021/3/17-1,2
8425,2021/3/17-3,2
8426,2021/3/17-4,2
8427,2021/3/17-6,4
8428,2021/3/17-7,2
8429,2021/3/17-8,5
8430,2021/3/17-9,10
8431,2021/3/17-10,2
8432,2021/3/17-11,27
8433,2021/3/17-12,10
8434,2021/3/17-13,7
8435,2021/3/17-14,3
8436,2021/3/17-15,5
8437,2021/3/17-16,5
8438,2021/3/17-17,11
8439,2021/3/17-18,9
8440,2021/3/17-19,9
8441,2021/3/17-20,7
8442,2021/3/17-21,18
8443,2021/3/17-22,6
8444,2021/3/17-23,5
8445,2021/3/18-0,2
8446,2021/3/18-1,1
8447,2021/3/18-2,5
8448,2021/3/18-3,1
8449,2021/3/18-5,6
8450,2021/3/18-6,2
8451,2021/3/18-8,7
8452,2021/3/18-9,2
8453,2021/3/18-10,9
8454,2021/3/18-11,14
8455,2021/3/18-12,2
8456,2021/3/18-13,9
8457,2021/3/18-14,2
8458,2021/3/18-15,4
8459,2021/3/18-16,5
8460,2021/3/18-17,9
8461,2021/3/18-18,28
8462,2021/3/18-19,6
8463,2021/3/18-20,10
8464,2021/3/18-21,8
8465,2021/3/18-22,11
8466,2021/3/18-23,2
8467,2021/3/19-0,5
8468,2021/3/19-1,2
8469,2021/3/19-2,4
8470,2021/3/19-3,1
8471,2021/3/19-4,2
8472,2021/3/19-5,2
8473,2021/3/19-6,2
8474,2021/3/19-7,2
8475,2021/3/19-8,4
8476,2021/3/19-9,8
8477,2021/3/19-10,38
8478,2021/3/19-11,11
8479,2021/3/19-12,16
8480,2021/3/19-13,4
8481,2021/3/19-14,28
