,time,pre_total_sheet
648,2020/10/8-22,3
649,2020/10/8-23,4
650,2020/10/9-0,2
651,2020/10/9-1,1
652,2020/10/9-4,2
653,2020/10/9-5,5
654,2020/10/9-6,1
655,2020/10/9-7,5
656,2020/10/9-8,5
657,2020/10/9-9,7
658,2020/10/9-10,11
659,2020/10/9-11,32
660,2020/10/9-12,22
661,2020/10/9-13,21
662,2020/10/9-15,12
663,2020/10/9-16,7
664,2020/10/9-17,15
665,2020/10/9-18,6
666,2020/10/9-19,45
667,2020/10/9-20,17
668,2020/10/9-21,11
669,2020/10/9-22,12
670,2020/10/9-23,1
671,2020/11/1-0,6
672,2020/11/1-1,1
673,2020/11/1-2,5
674,2020/11/1-3,2
675,2020/11/1-4,2
676,2020/11/1-5,1
677,2020/11/1-6,1
678,2020/11/1-7,8
679,2020/11/1-8,9
680,2020/11/1-9,6
681,2020/11/1-10,18
682,2020/11/1-11,24
683,2020/11/1-12,79
684,2020/11/1-13,6
685,2020/11/1-14,7
686,2020/11/1-15,10
687,2020/11/1-16,4
688,2020/11/1-17,34
689,2020/11/1-18,55
690,2020/11/1-19,6
691,2020/11/1-20,8
692,2020/11/1-21,16
693,2020/11/1-22,11
694,2020/11/1-23,17
695,2020/11/10-0,6
696,2020/11/10-1,3
697,2020/11/10-2,2
698,2020/11/10-3,3
699,2020/11/10-4,5
700,2020/11/10-5,4
701,2020/11/10-6,1
702,2020/11/10-7,7
703,2020/11/10-8,4
704,2020/11/10-9,3
705,2020/11/10-10,18
706,2020/11/10-11,27
707,2020/11/10-12,9
708,2020/11/10-13,5
709,2020/11/10-14,10
710,2020/11/10-15,11
711,2020/11/10-16,14
712,2020/11/10-17,39
713,2020/11/10-18,2
714,2020/11/10-19,31
715,2020/11/10-20,48
716,2020/11/10-21,16
717,2020/11/10-22,30
718,2020/11/10-23,4
719,2020/11/11-0,3
720,2020/11/11-1,7
721,2020/11/11-2,4
722,2020/11/11-3,4
723,2020/11/11-4,1
724,2020/11/11-5,1
725,2020/11/11-6,1
726,2020/11/11-7,1
727,2020/11/11-8,11
728,2020/11/11-9,10
