,truck_no,load_date,end_point
6476,琼E27259,2021-11-06 15:06:00,P000017982
6478,鲁L65153,2021-11-06 15:06:31,P000072182
6485,鲁L70695,2021-11-06 15:08:09,P000019562
6490,鲁L58025,2021-11-06 15:10:00,P000018362
6497,琼E21265,2021-11-06 15:18:00,P000018362
6498,琼E21265,2021-11-06 15:18:00,P000018362
6499,鲁L67568,2021-11-06 15:18:04,P000018362
6502,苏GQ1010,2021-11-06 15:20:32,P000018362
6503,苏GQ1010,2021-11-06 15:20:32,P000018362
6505,鲁UH5037,2021-11-06 15:21:31,P000043918
6506,苏GN5939,2021-11-06 15:22:00,P000061093
6510,鲁L70178,2021-11-06 15:28:00,P000018362
6511,鲁L70178,2021-11-06 15:28:00,P000018362
6517,苏GB2770,2021-11-06 15:30:54,P000022755
6520,鲁L85300,2021-11-06 15:33:32,P000015400
6522,鲁L67837,2021-11-06 15:33:55,P000018362
6524,鲁L67653,2021-11-06 15:36:07,P000019562
6530,苏GL2395,2021-11-06 15:41:51,P000018362
6532,鲁L68703,2021-11-06 15:43:31,P000017760
6535,鲁UF5902,2021-11-06 15:45:32,P000043918
6540,苏GG8688,2021-11-06 15:47:30,P000018362
6541,苏GG8688,2021-11-06 15:47:30,P000018362
6550,苏GZ9793,2021-11-06 15:49:46,P000018362
6565,鲁L71267,2021-11-06 16:01:31,P000019735
6566,苏GL8015,2021-11-06 16:02:56,P000018362
6569,鲁L92226,2021-11-06 16:05:01,P000017812
6574,鲁L69272,2021-11-06 16:13:06,P000027712
6585,苏GR5517,2021-11-06 16:18:00,P000018362
6586,苏GR5517,2021-11-06 16:18:00,P000018362
6587,苏GF0076,2021-11-06 16:18:04,P000018362
6594,琼E26279,2021-11-06 16:20:05,P000018362
6595,琼E26279,2021-11-06 16:20:05,P000018362
6598,鲁L67837,2021-11-06 16:22:03,P000018362
6604,鲁L68321,2021-11-06 16:24:02,P000024571
6609,鲁L91668,2021-11-06 16:25:31,P000021313
6614,鲁UW7761,2021-11-06 16:28:32,P000043918
6618,鲁Q387LJ,2021-11-06 16:30:00,P000022755
6627,鲁L65072,2021-11-06 16:34:14,P000061093
6629,鲁L67183,2021-11-06 16:35:01,P000021313
6630,苏GU1260,2021-11-06 16:35:10,P000018362
6631,鲁L58317,2021-11-06 16:36:00,P000018362
6644,鲁L67952,2021-11-06 16:44:33,P000024571
6650,鲁L95963,2021-11-06 16:49:02,P000042963
6653,鲁L89917,2021-11-06 16:50:41,P000017760
6659,鲁L63182,2021-11-06 16:57:31,P000017954
6666,鲁L58317,2021-11-06 17:05:42,P000018362
6668,苏GN3229,2021-11-06 17:07:24,P000018362
6672,鲁UN2799,2021-11-06 17:11:10,P000043918
6678,苏H0619H,2021-11-06 17:14:00,P000019549
6680,鲁UF5302,2021-11-06 17:15:32,P000043918
6686,苏GL3067,2021-11-06 17:20:00,P000018362
6687,苏GL3067,2021-11-06 17:20:00,P000018362
6694,苏H0889D,2021-11-06 17:26:00,P000019549
6698,苏GL8015,2021-11-06 17:28:01,P000018362
6700,鲁L65072,2021-11-06 17:31:32,P000061093
6710,鲁L68651,2021-11-06 17:40:31,P000019735
6717,鲁UF7053,2021-11-06 17:46:02,P000043918
6727,苏H1608Z,2021-11-06 17:54:27,P000018362
6740,鲁UP8116,2021-11-06 18:03:32,P000043918
6742,鲁L69736,2021-11-06 18:04:11,P000072182
6748,鲁UF5987,2021-11-06 18:11:01,P000043918
6779,鲁L77690,2021-11-06 18:43:31,P000017812
6793,鲁L68767,2021-11-06 18:58:01,P000072182
6824,鲁L58951,2021-11-06 19:29:08,P000055787
6825,鲁L57720,2021-11-06 19:29:32,P000042580
6830,琼E22949,2021-11-06 19:36:00,P000018362
6831,琼E22949,2021-11-06 19:36:00,P000018362
6835,鲁Q536EX,2021-11-06 19:42:05,P000018362
6842,鲁L79093,2021-11-06 19:45:31,P000015400
6853,鲁L68710,2021-11-06 19:56:01,P000017760
6856,鲁L67182,2021-11-06 20:01:03,P000072182
6868,苏GN2526,2021-11-06 20:08:00,P000018362
6869,鲁L56600,2021-11-06 20:08:01,P000015400
6874,鲁L98281,2021-11-06 20:13:02,P000015400
6878,苏GG1611,2021-11-06 20:22:00,P000018362
6879,苏GG1611,2021-11-06 20:22:00,P000018362
6882,鲁L68820,2021-11-06 20:24:32,P000019562
6886,苏GM1285,2021-11-06 20:30:00,P000061093
6889,苏H8391L,2021-11-06 20:34:00,P000018362
6895,鲁UR3905,2021-11-06 20:38:32,P000043918
6900,鲁L77953,2021-11-06 20:46:31,P000042106
6909,苏GK5897,2021-11-06 20:53:50,P000018362
6911,鲁L63172,2021-11-06 20:57:02,P000024571
6917,鲁L67621,2021-11-06 21:06:25,P000018362
6922,鲁UG6805,2021-11-06 21:10:32,P000055551
6933,鲁L79550,2021-11-06 21:27:31,P000042106
6938,鲁L57725,2021-11-06 21:31:31,P000043918
6943,鲁L68759,2021-11-06 21:35:32,P000072182
6944,鲁L68631,2021-11-06 21:36:32,P000015059
6956,鲁L79106,2021-11-06 21:46:37,P000017418
6957,鲁L67585,2021-11-06 21:50:02,P000072182
6961,鲁L93323,2021-11-06 21:56:02,P000024571
6963,鲁UP1337,2021-11-06 21:57:02,P000043918
6964,鲁UF3932,2021-11-06 21:58:02,P000043918
6973,鲁Q383KB,2021-11-06 22:14:00,P000018362
6995,鲁L68703,2021-11-06 22:34:41,P000019735
7001,鲁L68072,2021-11-06 22:44:31,P000021313
7006,鲁L71267,2021-11-06 22:48:02,P000055787
7008,鲁L71119,2021-11-06 22:49:01,P000019735
7010,苏H6202M,2021-11-06 22:51:31,P000015400
7011,苏H7474T,2021-11-06 22:53:02,P000015400
7016,鲁UF5902,2021-11-06 22:56:32,P000043918
7018,鲁L86597,2021-11-06 22:59:31,P000024571
7020,鲁L88391,2021-11-06 23:02:32,P000017812
7021,鲁UH5037,2021-11-06 23:03:02,P000043918
7031,鲁UN2799,2021-11-06 23:18:41,P000043918
7034,鲁UW7761,2021-11-06 23:20:37,P000043918
7040,鲁L83198,2021-11-06 23:36:02,P000043918
7041,鲁UF5302,2021-11-06 23:37:02,P000043918
7051,鲁UF7053,2021-11-06 23:51:32,P000043918
7056,鲁L69300,2021-11-07 00:01:32,P000019562
7057,鲁L67903,2021-11-07 00:08:02,P000017760
7066,鲁UP8116,2021-11-07 00:27:31,P000043918
7091,苏GP9065,2021-11-07 01:23:33,P000051729
7097,琼E16771,2021-11-07 01:35:36,P000018204
7099,鲁L16333,2021-11-07 01:39:20,P000051729
7100,苏GP0612,2021-11-07 01:40:00,P000051729
7105,鲁LE7632,2021-11-07 01:49:41,P000051729
7109,鲁L85333,2021-11-07 02:00:00,P000051729
7111,鲁L85797,2021-11-07 02:05:08,P000051729
7112,鲁L91380,2021-11-07 02:05:50,P000051729
7125,鲁L67506,2021-11-07 02:58:32,P000021313
7140,鲁L75822,2021-11-07 03:34:00,P000051729
7144,鲁L68093,2021-11-07 03:44:31,P000072182
7153,鲁L13878,2021-11-07 04:13:32,P000021313
7169,鲁UF7053,2021-11-07 05:01:09,P000055551
7175,鲁L73035,2021-11-07 05:22:02,P000015400
7179,鲁L68188,2021-11-07 05:26:32,P000019735
7181,鲁L79089,2021-11-07 05:27:32,P000015400
7182,鲁L73131,2021-11-07 05:28:02,P000021313
7185,鲁L65153,2021-11-07 05:31:01,P000072182
7188,鲁L99737,2021-11-07 05:37:02,P000017760
7190,苏H0757C,2021-11-07 05:42:19,P000018204
7191,鲁L68651,2021-11-07 05:43:31,P000017760
7199,鲁Q657KJ,2021-11-07 06:04:00,P000051729
7212,鲁L88817,2021-11-07 06:27:31,P000017760
7216,鲁L70699,2021-11-07 06:33:02,P000019735
7217,鲁L69055,2021-11-07 06:36:32,P000017662
7221,鲁L68767,2021-11-07 06:38:02,P000072182
7224,鲁L68552,2021-11-07 06:39:32,P000019735
7231,鲁L91668,2021-11-07 06:54:31,P000017812
7239,鲁L69736,2021-11-07 07:12:02,P000072182
7242,鲁L69632,2021-11-07 07:14:02,P000017954
7244,鲁L69651,2021-11-07 07:15:04,P000019735
7245,鲁L13333,2021-11-07 07:15:31,P000019735
7255,鲁UW7761,2021-11-07 07:32:02,P000055551
7256,鲁L63182,2021-11-07 07:32:32,P000017812
7258,鲁L92226,2021-11-07 07:34:31,P000013819
7260,鲁L68710,2021-11-07 07:39:31,P000019735
7266,鲁L67653,2021-11-07 07:59:01,P000017954
7267,鲁L57353,2021-11-07 08:00:32,P000035999
7271,鲁L65391,2021-11-07 08:04:32,P000035999
7279,鲁L15520,2021-11-07 08:22:05,P000051729
7289,鲁L58318,2021-11-07 08:36:54,P000051729
7292,鲁L65172,2021-11-07 08:42:03,P000019562
7293,苏GM7230,2021-11-07 08:42:03,P000047649
7294,苏GM7230,2021-11-07 08:42:03,P000047649
7295,苏GM7230,2021-11-07 08:42:03,P000047649
7299,鲁L67952,2021-11-07 08:45:31,P000072182
7301,鲁L68759,2021-11-07 08:47:05,P000072182
7303,鲁L86785,2021-11-07 08:48:02,P000015400
7312,鲁Q837GK,2021-11-07 09:06:57,P000018204
7313,鲁L85902,2021-11-07 09:09:01,P000015622
7317,鲁L73130,2021-11-07 09:11:32,P000042580
7318,鲁Q879GG,2021-11-07 09:13:23,P000018204
7322,鲁L68980,2021-11-07 09:15:02,P000021313
7326,鲁L89917,2021-11-07 09:19:02,P000042580
7329,鲁L13513,2021-11-07 09:21:32,P000017764
7331,鲁Q122FR,2021-11-07 09:24:26,P000018204
7332,鲁L15310,2021-11-07 09:24:32,P000027712
7333,鲁L76170,2021-11-07 09:25:31,P000027712
7343,鲁L75905,2021-11-07 09:35:38,P000015059
7344,鲁L67500,2021-11-07 09:35:42,P000021313
7345,苏GY6196,2021-11-07 09:36:00,P000051729
7346,苏GW5162,2021-11-07 09:37:41,P000051729
7352,鲁L85088,2021-11-07 09:44:31,P000027712
7354,鲁L97859,2021-11-07 09:48:32,P000017812
7355,鲁L70696,2021-11-07 09:49:31,P000017764
7356,鲁UP1337,2021-11-07 09:50:32,P000043918
7358,鲁L67973,2021-11-07 09:53:01,P000013819
7367,鲁UN2799,2021-11-07 09:58:32,P000043918
7374,鲁L63231,2021-11-07 10:06:00,P000061093
7377,鲁Q905FT,2021-11-07 10:07:22,P000018204
7392,鲁L68866,2021-11-07 10:16:00,P000017982
7393,苏GH8195,2021-11-07 10:18:00,P000017982
7395,鲁L72886,2021-11-07 10:18:32,P000017764
7397,鲁UP8116,2021-11-07 10:21:32,P000043918
7401,鲁Q163EP,2021-11-07 10:25:13,P000018204
7407,鲁L68132,2021-11-07 10:32:00,P000017982
7409,鲁L75902,2021-11-07 10:33:31,P000017764
7420,鲁UF3932,2021-11-07 10:37:38,P000043918
7428,鲁L77690,2021-11-07 10:42:31,P000027712
7432,鲁L69260,2021-11-07 10:44:32,P000017954
7436,鲁L67103,2021-11-07 10:50:02,P000015622
7438,苏GY7057,2021-11-07 10:52:00,P000017982
7441,鲁Q307EU,2021-11-07 10:54:00,P000018204
7444,鲁L58822,2021-11-07 10:56:02,P000017764
7445,鲁L67183,2021-11-07 10:56:32,P000017764
7446,鲁L57720,2021-11-07 10:57:02,P000017812
7448,鲁L72192,2021-11-07 10:58:02,P000027712
7449,鲁L71267,2021-11-07 10:59:02,P000055787
7453,鲁L70357,2021-11-07 11:00:09,P000017982
7455,鲁L71972,2021-11-07 11:02:32,P000024571
7460,鲁L68321,2021-11-07 11:08:01,P000017812
7466,鲁L71812,2021-11-07 11:14:05,P000018204
7475,鲁UT6762,2021-11-07 11:19:31,P000043918
7477,鲁L72222,2021-11-07 11:22:00,P000061093
7481,鲁L13878,2021-11-07 11:24:02,P000021313
7482,鲁L69055,2021-11-07 11:24:32,P000012949
7492,苏H1937Y,2021-11-07 11:32:00,P000017982
7493,鲁L58951,2021-11-07 11:32:02,P000012949
7504,鲁L73121,2021-11-07 11:40:00,P000017982
7516,鲁L71706,2021-11-07 11:50:00,P000017982
7519,鲁L73996,2021-11-07 11:57:31,P000017662
7525,鲁L90758,2021-11-07 12:03:02,P000027712
7528,鲁UH5037,2021-11-07 12:09:32,P000043918
7532,鲁L95707,2021-11-07 12:13:31,P000027712
7538,苏H0533V,2021-11-07 12:17:58,P000017982
7541,苏GR1729,2021-11-07 12:18:08,P000017982
7548,苏GB2770,2021-11-07 12:24:00,P000000644
7549,鲁Q261GD,2021-11-07 12:26:09,P000018204
7553,鲁L77953,2021-11-07 12:28:31,P000042963
7555,鲁L68093,2021-11-07 12:31:01,P000017812
7559,鲁L85300,2021-11-07 12:36:02,P000015400
7562,琼E29667,2021-11-07 12:38:00,P000018204
7580,鲁L69632,2021-11-07 12:49:32,P000017954
7581,鲁L67653,2021-11-07 12:50:31,P000017954
7586,鲁LD1025,2021-11-07 12:59:02,P000042804
7595,苏GD9135,2021-11-07 13:12:00,P000018204
7600,鲁L75090,2021-11-07 13:19:01,P000042963
7606,鲁L99737,2021-11-07 13:28:01,P000017662
7610,苏H0619H,2021-11-07 13:31:05,P000017982
7617,鲁LE6895,2021-11-07 13:40:01,P000035999
7621,鲁L72163,2021-11-07 13:50:00,P000018204
7622,鲁L79093,2021-11-07 13:50:02,P000015400
7624,苏GG8688,2021-11-07 13:53:26,P000018204
7628,鲁L67568,2021-11-07 13:59:29,P000018204
7630,鲁L88023,2021-11-07 14:03:32,P000042804
7631,鲁L68188,2021-11-07 14:04:32,P000042580
7636,鲁L93323,2021-11-07 14:11:31,P000017812
7639,鲁L92226,2021-11-07 14:15:32,P000017812
7642,鲁L88391,2021-11-07 14:24:32,P000013819
7651,琼E13687,2021-11-07 14:34:49,P000018204
7653,琼E27259,2021-11-07 14:44:50,P000018204
7657,鲁L68757,2021-11-07 14:46:32,P000072182
7667,苏GR5517,2021-11-07 15:00:00,P000017982
7668,鲁L65153,2021-11-07 15:01:02,P000072182
7681,鲁L63172,2021-11-07 15:15:32,P000035999
7684,苏H5017H,2021-11-07 15:20:58,P000018204
7689,苏H0757C,2021-11-07 15:24:06,P000018204
7707,琼E13276,2021-11-07 15:46:25,P000018204
7708,琼E13276,2021-11-07 15:46:25,P000018204
7709,鲁L79950,2021-11-07 15:47:02,P000042963
7714,鲁L60055,2021-11-07 15:49:02,P000042963
7717,鲁L99559,2021-11-07 15:53:02,P000015400
7720,鲁L68273,2021-11-07 15:55:01,P000035999
7721,苏GK5897,2021-11-07 15:55:28,P000018204
7722,苏GK5897,2021-11-07 15:55:28,P000017982
7725,苏H5017H,2021-11-07 15:58:00,P000018204
7726,鲁L78667,2021-11-07 15:58:01,P000015400
7729,鲁L75560,2021-11-07 16:07:02,P000042963
7731,鲁L86597,2021-11-07 16:09:02,P000017812
7735,鲁L69736,2021-11-07 16:12:02,P000072182
7736,鲁L79366,2021-11-07 16:14:02,P000042963
7740,鲁L70178,2021-11-07 16:17:22,P000018362
7746,鲁UR3905,2021-11-07 16:29:02,P000043918
7750,苏GU1260,2021-11-07 16:32:00,P000017982
7751,苏GU1260,2021-11-07 16:32:00,P000018204
7756,琼E26279,2021-11-07 16:37:15,P000018362
7757,琼E26279,2021-11-07 16:37:15,P000018362
7759,琼E21265,2021-11-07 16:41:18,P000018362
7760,琼E21265,2021-11-07 16:41:18,P000018362
7764,鲁L13333,2021-11-07 16:45:02,P000042580
7765,鲁L70676,2021-11-07 16:47:32,P000019562
7768,鲁L68710,2021-11-07 16:51:01,P000012949
7769,鲁L83678,2021-11-07 16:51:32,P000055787
7772,琼E10248,2021-11-07 16:54:00,P000018362
7773,琼E10248,2021-11-07 16:54:00,P000018362
7776,鲁UP8116,2021-11-07 16:57:02,P000055551
7777,琼E22949,2021-11-07 16:59:07,P000018362
7783,苏GZ9793,2021-11-07 17:05:10,P000018362
7795,鲁L57353,2021-11-07 17:24:02,P000035999
7799,鲁L68112,2021-11-07 17:28:16,P000017982
7800,鲁L67973,2021-11-07 17:29:31,P000024571
7801,鲁L90656,2021-11-07 17:34:02,P000042804
7804,琼E24048,2021-11-07 17:36:39,P000018362
7809,苏H5073C,2021-11-07 17:39:50,P000014733
7818,鲁UP1337,2021-11-07 17:44:02,P000055551
7819,鲁L67765,2021-11-07 17:47:01,P000017982
7823,苏GX0167,2021-11-07 17:50:25,P000018362
7824,鲁L68820,2021-11-07 17:51:02,P000019562
7825,鲁L68321,2021-11-07 17:52:32,P000072182
7828,苏GG1611,2021-11-07 17:58:36,P000018362
7829,苏GH8195,2021-11-07 18:02:17,P000018362
7831,鲁VL5130,2021-11-07 18:04:31,P000018362
7837,苏GQ1010,2021-11-07 18:10:57,P000018362
7839,鲁L72516,2021-11-07 18:18:00,P000018362
7842,鲁L98281,2021-11-07 18:22:31,P000015622
7843,鲁L97859,2021-11-07 18:23:32,P000024571
7845,鲁Q375KU,2021-11-07 18:28:00,P000018362
7847,苏GM1285,2021-11-07 18:28:52,P000018362
7853,苏GL3067,2021-11-07 18:32:00,P000018362
7855,鲁L71972,2021-11-07 18:33:01,P000024571
7857,苏GX0167,2021-11-07 18:36:00,P000018362
7858,苏H7474T,2021-11-07 18:37:02,P000015400
7860,鲁VL5130,2021-11-07 18:40:00,P000018362
7861,苏GQ1010,2021-11-07 18:42:00,P000018362
7868,苏H8391L,2021-11-07 18:54:24,P000014733
7869,苏H8391L,2021-11-07 18:54:24,P000014733
7870,鲁L85550,2021-11-07 18:54:32,P000015622
7875,苏GR9150,2021-11-07 19:00:00,P000018362
7883,鲁L76993,2021-11-07 19:02:31,P000042804
7887,苏GL3067,2021-11-07 19:14:00,P000018362
7891,苏GR0612,2021-11-07 19:18:00,P000018362
7897,苏GH8195,2021-11-07 19:28:00,P000018362
7905,苏GM1285,2021-11-07 19:32:55,P000018362
7922,鲁L73130,2021-11-07 20:07:32,P000015400
7932,苏H6202M,2021-11-07 20:20:32,P000015400
7942,鲁L85902,2021-11-07 20:29:02,P000015622
7958,鲁L71119,2021-11-07 21:01:02,P000055787
8003,苏H1608Z,2021-11-07 22:30:00,P000018362
8004,苏H5756J,2021-11-07 22:30:06,P000061093
8017,鲁L73131,2021-11-07 22:49:02,P000017764
8020,鲁L65153,2021-11-07 22:56:02,P000072182
8024,鲁L70695,2021-11-07 23:14:04,P000072182
8035,苏GB2770,2021-11-07 23:28:49,P000018362
8036,苏H5756J,2021-11-07 23:34:18,P000061093
8078,鲁L79106,2021-11-08 01:10:00,P000072156
8080,鲁L67952,2021-11-08 01:15:32,P000024571
8091,鲁L68093,2021-11-08 01:38:32,P000072182
8101,苏H0889D,2021-11-08 02:15:13,P000018976
8106,鲁L98321,2021-11-08 02:22:01,P000015400
8110,苏GL2395,2021-11-08 02:38:43,P000018204
8113,苏GN5939,2021-11-08 03:02:14,P000018204
8116,鲁L72192,2021-11-08 03:15:31,P000036289
8122,鲁L58163,2021-11-08 03:42:00,P000018976
8140,鲁UF7053,2021-11-08 04:55:32,P000043918
8145,苏H2756A,2021-11-08 05:18:46,P000018976
8146,鲁L99737,2021-11-08 05:21:31,P000024571
8148,苏H7912M,2021-11-08 05:22:53,P000018976
8151,鲁L58361,2021-11-08 05:32:35,P000018204
8152,鲁L58352,2021-11-08 05:37:25,P000018976
8153,鲁L89917,2021-11-08 05:37:31,P000024571
8155,鲁L67183,2021-11-08 05:43:02,P000024571
8156,鲁L68767,2021-11-08 05:43:20,P000072182
8157,鲁L68188,2021-11-08 05:44:02,P000021313
8164,琼E18577,2021-11-08 06:10:00,P000018976
8166,鲁L92226,2021-11-08 06:24:01,P000024571
8169,琼E15306,2021-11-08 06:30:17,P000018976
8170,鲁L88817,2021-11-08 06:30:31,P000043918
8177,鲁L93323,2021-11-08 06:48:32,P000015622
8186,鲁Q890ER,2021-11-08 07:04:48,P000018204
8188,鲁Q722EZ,2021-11-08 07:07:55,P000018204
8193,苏H3601U,2021-11-08 07:14:00,P000014733
8194,苏H3601U,2021-11-08 07:14:00,P000014733
8195,鲁Q965ET,2021-11-08 07:16:43,P000018204
8199,鲁L69736,2021-11-08 07:19:02,P000072182
8201,苏GR1729,2021-11-08 07:24:00,P000018204
8203,鲁L67103,2021-11-08 07:27:02,P000027712
8205,苏GB3319,2021-11-08 07:28:00,P000018204
8207,苏GL8015,2021-11-08 07:31:05,P000018204
8208,鲁Q925GU,2021-11-08 07:31:55,P000018204
8213,鲁L91668,2021-11-08 07:42:32,P000055551
8214,苏GV2010,2021-11-08 07:43:09,P000018204
8216,鲁L89662,2021-11-08 07:45:31,P000015400
8218,苏GR8369,2021-11-08 07:50:00,P000018204
8219,苏H0533V,2021-11-08 07:51:14,P000018976
8220,苏GQ6109,2021-11-08 07:51:34,P000018204
8228,鲁L71267,2021-11-08 08:12:31,P000055787
8229,苏H1937Y,2021-11-08 08:18:59,P000018976
8239,鲁UH5037,2021-11-08 08:29:02,P000043918
8240,苏H8540W,2021-11-08 08:31:12,P000018976
8241,鲁H62D99,2021-11-08 08:32:00,P000018204
8246,苏GL9923,2021-11-08 08:38:06,P000018204
8247,鲁L87060,2021-11-08 08:39:31,P000015400
8248,鲁L67653,2021-11-08 08:43:02,P000055787
8249,鲁L68759,2021-11-08 08:45:00,P000027712
8253,苏GY7057,2021-11-08 08:49:37,P000018204
8254,鲁L15310,2021-11-08 08:50:02,P000027712
8257,鲁L69653,2021-11-08 08:51:02,P000055787
8260,鲁Q122EG,2021-11-08 08:58:00,P000018204
8264,鲁L92861,2021-11-08 09:07:07,P000027712
8265,鲁L73130,2021-11-08 09:09:37,P000015622
8266,鲁Q958JE,2021-11-08 09:10:00,P000018204
8267,鲁Q958JE,2021-11-08 09:10:00,P000018204
8268,鲁L17303,2021-11-08 09:11:48,P000018362
8275,苏GY2562,2021-11-08 09:19:06,P000018204
8278,鲁L97810,2021-11-08 09:19:38,P000015400
8279,鲁L61106,2021-11-08 09:20:54,P000018362
8280,鲁H81Z78,2021-11-08 09:22:00,P000018204
8281,鲁H81Z78,2021-11-08 09:22:00,P000018204
8283,鲁L83973,2021-11-08 09:25:01,P000015622
8286,苏GN3229,2021-11-08 09:29:43,P000018204
8291,鲁L58215,2021-11-08 09:31:38,P000018362
8293,鲁LE6895,2021-11-08 09:32:31,P000017764
8294,鲁L13513,2021-11-08 09:33:04,P000017764
8295,鲁H95W02,2021-11-08 09:34:00,P000018204
8296,鲁H95W02,2021-11-08 09:34:00,P000018204
8298,鲁L69055,2021-11-08 09:35:02,P000017764
8302,鲁L70699,2021-11-08 09:37:01,P000017764
8312,苏GP0782,2021-11-08 09:44:22,P000018204
8315,鲁L77690,2021-11-08 09:46:02,P000015622
8317,鲁L85088,2021-11-08 09:46:32,P000027712
8320,苏GX2975,2021-11-08 09:47:15,P000018204
8322,鲁L88023,2021-11-08 09:49:31,P000015622
8334,鲁L86708,2021-11-08 10:05:02,P000015400
8342,鲁L75560,2021-11-08 10:11:32,P000042580
8343,鲁L56600,2021-11-08 10:13:01,P000017812
8346,鲁L86785,2021-11-08 10:14:37,P000017812
8356,鲁L79093,2021-11-08 10:29:31,P000015400
8361,鲁L67973,2021-11-08 10:34:01,P000017812
8364,鲁L87101,2021-11-08 10:38:31,P000016685
8367,鲁L57006,2021-11-08 10:39:46,P000071137
8371,鲁Q975EU,2021-11-08 10:44:00,P000018976
8374,鲁L15158,2021-11-08 10:46:08,P000071137
8375,苏H4452N,2021-11-08 10:46:28,P000018976
8381,鲁Q770GT,2021-11-08 10:51:12,P000018204
8382,鲁Q770GT,2021-11-08 10:51:12,P000017982
8386,鲁L68023,2021-11-08 10:53:31,P000015059
8388,鲁L68651,2021-11-08 10:56:02,P000015059
8389,鲁UP8116,2021-11-08 10:57:02,P000043918
8392,鲁L68273,2021-11-08 11:02:32,P000016685
8394,鲁L71972,2021-11-08 11:06:02,P000017812
8400,鲁L57720,2021-11-08 11:09:03,P000017812
8414,苏GQ5895,2021-11-08 11:16:06,P000018204
8415,苏GQ5895,2021-11-08 11:16:06,P000018204
8420,苏GT3562,2021-11-08 11:20:00,P000018362
8421,苏GT3562,2021-11-08 11:20:00,P000018362
8430,鲁L58025,2021-11-08 11:27:35,P000018362
8431,鲁L58025,2021-11-08 11:27:35,P000018362
8435,鲁L95707,2021-11-08 11:30:32,P000072182
8441,鲁L13878,2021-11-08 11:35:32,P000042580
8448,鲁UT6762,2021-11-08 11:44:32,P000043918
8462,鲁L68980,2021-11-08 11:59:02,P000012949
8468,鲁L76110,2021-11-08 12:03:02,P000072182
8473,鲁L63621,2021-11-08 12:04:00,P000014733
8474,鲁UF7053,2021-11-08 12:04:02,P000043918
8475,苏GN6169,2021-11-08 12:05:41,P000018362
8476,苏GN6169,2021-11-08 12:05:41,P000018362
8479,鲁Q220EX,2021-11-08 12:08:56,P000018362
8480,鲁Q220EX,2021-11-08 12:08:56,P000018362
8483,鲁L69580,2021-11-08 12:13:01,P000017812
8487,鲁L65153,2021-11-08 12:20:32,P000072182
8497,鲁L76625,2021-11-08 12:29:32,P000043918
8505,鲁L57353,2021-11-08 12:37:26,P000072182
8509,鲁L77953,2021-11-08 12:40:01,P000042963
8512,鲁L68188,2021-11-08 12:47:02,P000043918
8524,鲁UV0185,2021-11-08 13:03:02,P000043918
8531,鲁L90009,2021-11-08 13:10:02,P000024571
8532,鲁L97859,2021-11-08 13:10:21,P000042580
8533,鲁L85233,2021-11-08 13:10:27,P000042106
8534,鲁L68757,2021-11-08 13:11:02,P000072182
8535,鲁L83678,2021-11-08 13:11:08,P000021313
8548,鲁L68093,2021-11-08 13:21:31,P000072182
8549,鲁L99737,2021-11-08 13:21:38,P000072182
8551,鲁UP1337,2021-11-08 13:23:31,P000043918
8556,鲁UR3905,2021-11-08 13:29:31,P000043918
8557,苏H0889D,2021-11-08 13:30:18,P000018976
8567,鲁L68767,2021-11-08 13:39:02,P000072182
8569,鲁UN2799,2021-11-08 13:40:32,P000043918
8570,鲁L70178,2021-11-08 13:42:00,P000018204
8573,鲁UG6805,2021-11-08 13:45:32,P000043918
8577,鲁L83198,2021-11-08 13:48:32,P000043918
8581,苏GH8195,2021-11-08 13:55:19,P000017982
8582,苏GH8195,2021-11-08 13:55:19,P000018204
8589,苏H8391L,2021-11-08 14:02:19,P000018976
8591,鲁L71812,2021-11-08 14:03:26,P000018204
8592,鲁L71812,2021-11-08 14:03:26,P000017982
8599,鲁L13595,2021-11-08 14:13:02,P000055551
8600,苏GR0612,2021-11-08 14:13:29,P000018362
8607,鲁LE7252,2021-11-08 14:20:32,P000071137
8608,琼E25545,2021-11-08 14:21:18,P000018362
8612,鲁L68288,2021-11-08 14:26:00,P000018204
8613,鲁L68288,2021-11-08 14:26:00,P000017982
8620,苏GX0167,2021-11-08 14:29:58,P000018362
8623,鲁L39791,2021-11-08 14:32:00,P000071137
8624,琼E22949,2021-11-08 14:33:55,P000018362
8626,苏GG1611,2021-11-08 14:34:23,P000018362
8628,苏GM1285,2021-11-08 14:34:53,P000018362
8629,鲁L75090,2021-11-08 14:35:02,P000015400
8631,鲁L58163,2021-11-08 14:36:00,P000018362
8632,鲁L15186,2021-11-08 14:36:44,P000071137
8635,鲁L67568,2021-11-08 14:45:01,P000061093
8638,苏H5073C,2021-11-08 14:46:23,P000047378
8643,琼E16771,2021-11-08 14:54:12,P000018362
8644,琼E29667,2021-11-08 14:54:22,P000018362
8646,琼E13687,2021-11-08 14:55:48,P000018362
8650,琼E27259,2021-11-08 14:57:46,P000018362
8651,琼E27259,2021-11-08 14:57:46,P000018362
8656,苏GR0612,2021-11-08 15:02:30,P000018362
8660,琼E10248,2021-11-08 15:04:05,P000018362
8661,琼E10248,2021-11-08 15:04:05,P000018362
8663,苏GX0167,2021-11-08 15:06:52,P000018362
8667,琼E26279,2021-11-08 15:10:00,P000018362
8668,琼E26279,2021-11-08 15:10:00,P000018362
8670,苏GG1611,2021-11-08 15:11:48,P000018362
